"student_id","entry_year","graduation_date","graduation_cgpa","work_company","work_industry","work_position","work_startdate","work_enddate","work_city","work_country","erasmus_participation","erasmus_year","erasmus_school","erasmus_city","erasmus_country","graduation_year"
20726914,2007,"23.07.2012",2.11,"MAN Türkiye","Auto, Truck & Motorcycle Manufacturers","Purchasing Engineer","23.09.2013","25.10.2015","Ankara","Turkey",1,2010,"Technical University of Liberec","Liberec","Czech Republic",2012
20726914,2007,"23.07.2012",2.11,"Şişecam","Glass","Technical Purchasing Specialist","16.08.2016","26.08.2017","İstanbul","Turkey",1,2010,"Technical University of Liberec","Liberec","Czech Republic",2012
20726914,2007,"23.07.2012",2.11,"Sharkoon Taiwan","Computer Hardware","Marketing & Sales Engineer","02.01.2019","01.09.2019","Taipei","Taiwan",1,2010,"Technical University of Liberec","Liberec","Czech Republic",2012
20726914,2007,"23.07.2012",2.11,"Sampa Otomotiv","Auto, Truck & Motorcycle Parts & Service","Commercial Product Group Purchasing Manager","11.11.2019","0000-00-00","Samsun","Turkey",1,2010,"Technical University of Liberec","Liberec","Czech Republic",2012
20726928,2007,"13.06.2011",3.43,"THY - Türk Hava Yolları","Airlines","Engineer","23.09.2013","0000-00-00","İstanbul","Turkey",NA,NA,"","","",2011
20726933,2007,"04.06.2012",2.32,"CMS Jant ve Makina","Auto, Truck & Motorcycle Parts & Service","Cost Controller","05.01.2015","24.06.2016","İzmir","Turkey",NA,NA,"","","",2012
20726933,2007,"04.06.2012",2.32,"CMS Jant ve Makina","Auto, Truck & Motorcycle Parts & Service","Production & Planning Engineer","01.07.2013","31.12.2014","İzmir","Turkey",NA,NA,"","","",2012
20726933,2007,"04.06.2012",2.32,"ETAPAK Baskı Ambalaj","Paper Packaging","Project Engineer","04.02.2013","28.06.2013","İzmir","Turkey",NA,NA,"","","",2012
20726933,2007,"04.06.2012",2.32,"Johnson Controls","Industrial Conglomerates","Cost Controller","06.06.2016","15.10.2017","İzmir","Turkey",NA,NA,"","","",2012
20726933,2007,"04.06.2012",2.32,"MAHLE Filtre Sistemleri","Auto Vehicles, Parts & Service Retailers","Assistant Manager of Process Improvement","23.10.2017","0000-00-00","İzmir","Turkey",NA,NA,"","","",2012
20726947,2007,"13.06.2011",2.99,"T.C. Ekonomi Bakanlığı","Public Sector","Foreign Trade Specialist","03.02.2014","0000-00-00","Ankara","Turkey",NA,NA,"","","",2011
20726947,2007,"13.06.2011",2.99,"T.C. Sağlık Bakanlığı","Public Sector","Engineer","05.08.2013","03.01.2014","Ankara","Turkey",NA,NA,"","","",2011
20726947,2007,"13.06.2011",2.99,"DMO - Devlet Malzeme Ofisi","Public Sector","Purchasing Assistant Specialist","02.01.2012","02.08.2013","Ankara","Turkey",NA,NA,"","","",2011
20726947,2007,"13.06.2011",2.99,"Experteam","Consulting","Functional Consultant","04.07.2011","30.12.2011","İstanbul","Turkey",NA,NA,"","","",2011
20726952,2007,"04.06.2012",3.22,"EMEK Electrical Industry","Electrical Components & Equipment","Production & Planning Engineer","01.04.2014","31.12.2014","Ankara","Turkey",NA,NA,"","","",2012
20726952,2007,"04.06.2012",3.22,"TAI - TUSAŞ","Aerospace & Defense","Planning Engineer","19.10.2015","01.11.2021","Ankara","Turkey",NA,NA,"","","",2012
20726952,2007,"04.06.2012",3.22,"ST Microelectronics","Semiconductors","Senior Planner","01.06.2022","0000-00-00","","Malta",NA,NA,"","","",2012
20726952,2007,"04.06.2012",3.22,"TAI - TUSAŞ","Aerospace & Defense","Project Engineer","01.11.2021","01.06.2022","Ankara","Turkey",NA,NA,"","","",2012
20726971,2007,"04.06.2012",2.72,"MAN Türkiye","Auto, Truck & Motorcycle Manufacturers","Purchasing Engineer","02.06.2014","0000-00-00","Ankara","Turkey",1,2010,"Technical University of Liberec","Liberec","Czech Republic",2012
20726971,2007,"04.06.2012",2.72,"Ekodenge","Environmental Services","Research & Development Expert","05.09.2011","30.05.2014","Ankara","Turkey",1,2010,"Technical University of Liberec","Liberec","Czech Republic",2012
20726985,2007,"18.02.2013",2.99,"Cengiz Enerji","Energy","Energy Trading Expert","01.10.2013","16.12.2018","Ankara","Turkey",1,2011,"University of Cassino","Cassino","Italy",2013
20726985,2007,"18.02.2013",2.99,"TANAP","Oil and Gas Transportation Services","Commercial Operations Engineer","17.12.2018","0000-00-00","Ankara","Turkey",1,2011,"University of Cassino","Cassino","Italy",2013
20726999,2007,"17.08.2012",2.24,"T.C. Bilim, Sanayi ve Teknoloji Bakanlığı","Public Sector","Assistant Specialist","25.03.2013","23.06.2017","Ankara","Turkey",NA,NA,"","","",2012
20726999,2007,"17.08.2012",2.24,"T.C. Bilim, Sanayi ve Teknoloji Bakanlığı","Public Sector","Specialist","23.06.2017","0000-00-00","Ankara","Turkey",NA,NA,"","","",2012
20727005,2007,"13.06.2011",3.07,"TAI - TUSAŞ","Aerospace & Defense","Engineer","01.05.2012","0000-00-00","Ankara","Turkey",NA,NA,"","","",2011
